,idx,sentence,followup,ftype,stype,gpt2small_response,gpt2med_response,gpt2large_response,gpt2xl_response
189,41,I saw a carpenter from my window,and I'm actually friends with that carpenter.,F1,Sc,-32.54841613769531,-31.804443359375,-30.50125217437744,-31.771518230438232
190,30,I didn't shake hands with a few professors,even though I was supposed to shake hands with them.,F1,S,-20.781532287597656,-19.096828937530518,-19.804696559906006,-18.824506282806396
191,58,A few kitchens make food for these local orphanages,since we don't have enough kitchens for the number of orphanages.,F1,Sc,-37.34829330444336,-35.89343857765198,-35.4211049079895,-34.59369993209839
192,56,Some local guitarists play with these backing vocalists,and each set of backing vocalists is talented.,F2,Sc,-35.380462646484375,-32.53302001953125,-33.623329162597656,-33.345558643341064
193,7,I might become a fan of most ex-members of One Direction,but I don't know which ex-members those are.,F2,S,-29.59196186065674,-31.368194580078125,-30.035009384155273,-31.41691303253174
194,64,Every laptop is facing this glitch,and the glitch is causing major issues to users.,F1,Sc,-35.680641174316406,-34.145137786865234,-32.047542095184326,-30.026742935180664
195,53,I always drink with most people I play chess against,even though it's a different set of people each time.,F2,S,-35.404624938964844,-32.033631324768066,-30.449978351593018,-29.28391981124878
196,19,I worked at a Fortune 500 company,because I'm perfect for that company.,F1,Sc,-31.271499633789062,-30.3109188079834,-30.75190544128418,-30.123945713043213
197,15,I was handed an item of my choice,and I know which one.,F1,Sc,-21.111007690429688,-21.872329711914062,-21.5266170501709,-19.499032497406006
198,43,I sometimes like most songs on Mario's playlist,even though it's a different set of songs each time.,F2,S,-30.0924072265625,-30.119050979614258,-28.48929262161255,-28.357097625732422
199,54,I bought four lamps from IKEA,but it's a different four each time.,F2,Sc,-34.98590850830078,-37.739158630371094,-35.60282802581787,-34.82614040374756
200,5,I will probably give myself some tattoos,but I don't know which ones.,F2,S,-18.204681396484375,-15.054931640625,-15.388365268707275,-14.24474811553955
201,46,I usually hammer a wall in the morning,because I'm trying to damage that wall.,F1,S,-29.619731903076172,-28.23064422607422,-29.070382118225098,-26.5540714263916
202,13,I want to buy a sandwich from Subway,but I don't know which one.,F2,S,-16.486465454101562,-14.094837188720703,-13.213829517364502,-13.122518062591553
203,37,I condemned every statement the President made,because I agreed with some of them.,F2,Sc,-24.468486785888672,-22.70111846923828,-22.79050588607788,-22.95050048828125
204,24,I owe my father five trading cards I love,and I know which ones.,F1,S,-23.364410400390625,-21.9974365234375,-24.413963317871094,-22.49065065383911
205,40,I accepted three applications for the job,despite the fact that my boss told me to reject them.,F1,Sc,-29.138629913330078,-28.564376831054688,-28.825006008148193,-28.84166193008423
206,41,I sometimes see a carpenter from my window,and I'm actually friends with that carpenter.,F1,S,-31.468753814697266,-29.093460083007812,-29.056530475616455,-28.412234783172607
207,19,I worked at a Fortune 500 company,but I don't care which one.,F2,Sc,-22.779754638671875,-23.588035583496094,-23.076202392578125,-24.009657382965088
208,36,I didn't reveal several secret addictions I have to my family,because I don't have any secret addictions in the first place.,F2,S,-30.81096649169922,-27.50644302368164,-28.983892917633057,-26.127281665802002
209,6,I must win a few matches this week,and I know which ones.,F1,S,-22.63196563720703,-19.224952697753906,-19.721396923065186,-17.817855834960938
210,25,I require that I share my playlist with three close friends,because the three of them love my playlists.,F1,S,-31.272140502929688,-31.663429260253906,-29.931654453277588,-28.126760959625244
211,8,I spoke face-to-face with most of my classmates,but I don't know which ones those are.,F2,Sc,-29.991500854492188,-31.842361450195312,-30.28303861618042,-29.47628927230835
212,35,I didn't pass all of my exams,since I failed two of my six exams.,F2,S,-32.76079559326172,-33.05799674987793,-30.93412208557129,-32.36887311935425
213,30,I didn't shake hands with a few professors,since there were no professors to shake hands with.,F2,S,-27.374046325683594,-22.463882446289062,-22.196444511413574,-22.433616638183594
214,47,I dusted some shelves at home,because I enjoy cleaning those shelves.,F1,Sc,-29.657684326171875,-26.270591735839844,-28.07371711730957,-26.479540824890137
215,3,A classmate of mine told me they love me,but I don't know which one.,F2,Sc,-17.043006896972656,-18.9359130859375,-18.002946853637695,-17.94649839401245
216,59,Some textbooks cite these three authors on colonialism,and each trio of authors is well-respected.,F2,Sc,-40.019569396972656,-38.91065979003906,-38.49552011489868,-38.60637903213501
217,17,I tested most tools in the shop,but I don't know which tools those are.,F2,Sc,-27.28687286376953,-28.442962646484375,-28.94059944152832,-26.861090183258057
218,64,Every laptop is facing a glitch,and the glitch is causing major issues to users.,F1,S,-35.96348571777344,-33.41251754760742,-32.5263671875,-31.325037956237793
219,23,I crave to eat a donut from Krispy Kreme,because I love that donut.,F1,S,-15.646713256835938,-15.496673583984375,-16.231707096099854,-15.299651622772217
220,65,All urban planners eat just these few boxes of pizza,because we have more than enough pizza to go around.,F2,Sc,-27.238250732421875,-26.20309066772461,-25.36285161972046,-25.049850463867188
221,23,I ate a donut from Krispy Kreme,but I don't care which one.,F2,Sc,-20.964935302734375,-22.25365447998047,-21.94794225692749,-22.402243614196777
222,7,I might become a fan of most ex-members of One Direction,and I know which ex-members those are.,F1,S,-34.9259033203125,-33.01960468292236,-29.858970165252686,-32.85235118865967
223,25,I require that I share my playlist with three close friends,but I don't care about who they are.,F2,S,-24.412704467773438,-21.493511199951172,-22.61965322494507,-22.690741062164307
224,6,I won a few matches this week,but I don't know which ones.,F2,Sc,-18.1865234375,-16.872528076171875,-16.7383975982666,-16.97182035446167
225,7,I became a fan of most ex-members of One Direction,and I know which ex-members those are.,F1,Sc,-34.1379337310791,-32.559972286224365,-30.10367250442505,-30.98088026046753
226,22,I spent New Year's with most members of my team,because I am close to them.,F1,Sc,-20.7169189453125,-20.1864652633667,-21.11128854751587,-19.79951238632202
227,49,I drank every bottle in the shared fridge,despite the fact that it's a different set of drinks each time.,F2,Sc,-39.873138427734375,-41.97980880737305,-42.35878229141235,-40.60226058959961
228,14,I purchased an expensive car,but I don't know which one.,F2,Sc,-20.14972686767578,-20.76404571533203,-18.36016082763672,-20.07265567779541
229,10,I saw two of my professors today,but I don't know which two.,F2,Sc,-23.60297393798828,-21.786849975585938,-22.013898849487305,-20.353806495666504
230,61,Most honeybees search for some flowers,because the flowers are very fragrant.,F1,S,-21.798912048339844,-18.992359161376953,-21.386893272399902,-23.428842544555664
231,22,I spent New Year's with most members of my team,even though I haven't met them yet.,F2,Sc,-21.11760711669922,-21.791522979736328,-23.51380443572998,-22.76114797592163
232,28,I didn't remember a joke told on the TV show Hannibal,even though the joke was really funny.,F1,S,-22.448562622070312,-22.466419219970703,-22.54180383682251,-21.46803045272827
233,45,I consulted two dentists,since I trust the two dentists.,F1,Sc,-33.50935363769531,-38.23133373260498,-36.1169810295105,-34.38331460952759
234,11,I will probably order three of my favourite items on the menu,and I know which three.,F1,S,-28.131263732910156,-24.28594207763672,-23.6738862991333,-21.594157695770264
235,52,I rented some pieces of gear before climbing,since I find those pieces of gear helpful.,F1,Sc,-35.60028839111328,-32.21881103515625,-33.36893081665039,-31.908700942993164
236,49,I drank every bottle in the shared fridge,as I like those specific drinks.,F1,Sc,-35.88408660888672,-33.61643981933594,-35.009493350982666,-33.73123073577881
237,1,I may meet a close friend of mine in the morning,but I don't know which one.,F2,S,-17.22290802001953,-18.24382781982422,-17.05224895477295,-18.443621158599854
238,56,Some local guitarists play with these backing vocalists,as the backing vocalists are talented.,F1,Sc,-27.60230255126953,-25.31925392150879,-25.268919944763184,-26.722813606262207
239,52,I rented some pieces of gear before climbing,although it's a different set of pieces of gear each time.,F2,Sc,-44.62910842895508,-44.98103618621826,-40.025437355041504,-40.696513652801514
240,66,You find every animal from The Lion King in this zoo,but don't expect to see all of them in the same zoo.,F1,Sc,-28.403549194335938,-27.810779571533203,-27.964537620544434,-29.288660049438477
241,38,I avoided two resorts this summer,even though I was supposed to go to them.,F1,Sc,-25.383995056152344,-20.000205993652344,-19.946053981781006,-20.592033863067627
242,66,You find every animal from The Lion King in this zoo,but other zoos each only have half of them.,F2,Sc,-44.990074157714844,-45.958900451660156,-44.07456874847412,-47.24453353881836
243,15,I demand that I am handed an item of my choice,and I know which one.,F1,S,-20.842178344726562,-20.93350601196289,-18.098024368286133,-18.878715991973877
244,27,I starved a dog,because there was no dog to feed. ,F2,Sc,-29.714637756347656,-29.276317596435547,-27.079532623291016,-29.046433448791504
245,35,I failed all of my exams,since I failed two of my six exams.,F2,Sc,-30.856250762939453,-33.23340606689453,-29.655774116516113,-32.34602499008179
246,45,I consulted two dentists,although it's a different pair of dentists each time.,F2,Sc,-44.52583694458008,-42.434627532958984,-41.6275954246521,-39.795798778533936
247,42,I ate a few flavours from St Viateur,because I really like those flavours.,F1,Sc,-21.858055114746094,-19.46808624267578,-19.31452512741089,-20.267484188079834
248,46,I hammered a wall in the morning,but it's a different wall each time.,F2,Sc,-31.021774291992188,-28.103090286254883,-26.88753080368042,-25.989248275756836
249,13,I bought a sandwich from Subway,and I know which one.,F1,Sc,-21.26190948486328,-22.071754455566406,-22.25562572479248,-19.822149753570557
250,36,I hid several secret addictions I have from my family.,because I don't have any secret addictions in the first place.,F2,Sc,-39.17234420776367,-38.91410827636719,-38.831233501434326,-35.87608194351196
251,2,I watched an episode of Tom and Jerry that I love,and I know which episode.,F1,Sc,-24.192283630371094,-23.74897003173828,-25.351149559020996,-20.84363555908203
252,39,I lost five games of tennis on Saturday,even though I was supposed to win them.,F1,Sc,-22.279403686523438,-21.61505126953125,-21.922751903533936,-19.08761692047119
253,33,I didn't stop some people from leaving the office early on Friday,because there's wasn't even anyone at the office on Friday.,F2,S,-45.45899200439453,-41.102989196777344,-39.76320743560791,-41.249725341796875
254,15,I was handed an item of my choice,but I don't know which one.,F2,Sc,-18.75646209716797,-17.629535675048828,-17.837541580200195,-16.90767526626587
255,28,I forgot a joke told on the TV show Hannibal,mostly because it's a serious drama with barely any jokes.,F2,Sc,-47.97700500488281,-45.777320861816406,-49.394567012786865,-47.15984106063843
256,12,"This holiday season, I donated to two charities",but I don't know which ones.,F2,Sc,-23.137123107910156,-19.609893798828125,-19.52019214630127,-18.787019729614258
257,4,I found some days this week to be sunny,but I don't know which days.,F2,Sc,-22.854263305664062,-22.579364776611328,-21.082435131072998,-18.912481784820557
258,5,I will probably give myself some tattoos,and I know which ones.,F1,S,-22.56305694580078,-21.87607192993164,-23.56023073196411,-21.5922212600708
259,55,Some farmers own a donkey,and the donkey is happy.,F1,S,-20.587203979492188,-20.30432891845703,-17.05773639678955,-18.719043254852295
260,12,"This holiday season, I must donate to two charities",and I know which ones.,F1,S,-25.560745239257812,-20.241073608398438,-20.02643346786499,-15.112336158752441
261,14,I desire to purchase an expensive car,and I know which one.,F1,S,-21.088890075683594,-19.982181549072266,-19.398537158966064,-17.987118244171143
262,18,I was friends with every person in my office,but I don't care about who they are.,F2,Sc,-23.090805053710938,-23.449085235595703,-24.83003330230713,-24.522780418395996
263,29,I overlooked an error in my code,and so my code didn't work properly.,F1,Sc,-24.32916259765625,-21.981521606445312,-22.21204137802124,-22.661998748779297
264,32,I didn't like all the books on sale,which is to say I enjoyed only a few of them.,F2,S,-34.17012023925781,-32.55727255344391,-34.63968753814697,-33.119478702545166
265,36,I didn't reveal several secret addictions I have to my family,because I thought I would be judged for having them.,F1,S,-29.88909912109375,-23.27838134765625,-24.956804752349854,-21.973680019378662
266,4,I may find some days this week to be sunny,and I know which days.,F1,S,-24.433517456054688,-27.829086303710938,-25.33275604248047,-24.724501132965088
267,15,I demand that I am handed an item of my choice,but I don't know which one.,F2,S,-18.377914428710938,-18.221572875976562,-19.700655937194824,-18.70912265777588
